comment,cleaned_comment
"Gw yang niat edukasi penyakit yang langka aja malah di goreng habis"" an, malah jadi fitnah, emang warga sosmed pada aneh",yang niat edukasi sakit yang langka aja malah goreng habis malah jadi fitnah emang warga sosmed pada aneh
"aku pernah dikatain ""ih gay gak suka cewek, padahal mantep"" yah bukan gak suka tapi gak minat sama cewek yang joget pake baju ketat di depan kamera dan dipertontonkan dengan gratis",aku pernah dikatain gay gak suka cewek padahal mantep yah bukan gak suka tapi gak minat sama cewek yang joget pake baju ketat depan kamera dan tonton dengan gratis
"trending nya joget2 atau lucu2 sama kayak di negara2 maju/pinter
Bedanya, di indonesia suaranya lebih berisik, dan yang nonton suka emosi seperti anda. Itu semua karena rata2 IQ rendah
Di barat lebih ceria dan gak berisik, dan yang nonton gak terlalu emosi atau dikit2 ""harga diri"" atau dikit2 ""akhir zaman""",trending nya joget atau lucu sama kayak negara majupinter indonesia suara lebih berisik dan yang nonton suka emosi seperti anda semua karena rata rendah barat lebih ceria dan gak berisik dan yang nonton gak terlalu emosi atau dikit harga diri atau dikit akhir zaman
kalau bikin konten gimmick menurut lu gimana. kayak palsu narasumbernya semua latar di setup kesannya kayak beneran tapi bohongan doang,kalau bikin konten gimmick turut gimana kayak palsu narasumber semua latar setup kesan kayak beneran tapi bohong doang
Mau heran tapi lupa ini di negeri indo😂,heran tapi lupa ini negeri indo
"Lihat,  betapa mudahnya pikiran kita dimanipulasi? Dengan memanfaatkan sedikit kecenderungan mendasar manusia yang dikombinasikan dengan cara otak mengolah informasi, banyak perusahaan bisa menghasilkan profit triliunan.",betapa mudah pikir kita manipulasi manfaat sedikit cenderung dasar manusia yang kombinasi dengan cara otak olah informasi banyak usaha bisa hasil profit triliun
"kebebasan itu mahal, yang murah harga dirinya",bebas itu mahal yang murah harga diri
"aku tidak tertarik dengan sesuatu yang erotic...setiap kali aku melihat wanita dengan pakaian terbuka,aku merasa geli dan jijik.",aku tidak tarik dengan sesuatu yang eroticsetiap kali aku lihat wanita dengan pakai terbukaaku rasa geli dan jijik
widih sigma banget kamu bang🔥🔥🔥,widih sigma banget kamu bang
"nyari kesenangan aja maunya yg instan, apalagi nyari duit😂😂😂😂😂 ngapain milih yg susah kalo ada yg gampang they said. gws dah",nyari senang aja mau instan apalagi nyari duit ngapain milih susah kalo gampang they said gws dah
ada demand maka ada supply. sekarang demand nya dari siapa ya.,demand maka supply sekarang demand nya dari siapa
"Alesan nya pasti karena terpaksa faktor ekonomi atau mudah mendaptkan cuan/duit.

tapi tidak memikirkan dampak besar nya contoh dampak nya besarnya :

1.dosa dia sendri ngalir terus menerus
2. dosa yg nonton
3. Ada peluang rasa yg timbul melakukan krim*na*  yaitu pem*rk*sa** karena serng liat ky gt.
4.merusak generasi muda
5. se** beb** semkin meningkt karena ada nya knten bgtu

mungkin kita sendiri bsa menghindari konten seperti itu , tp orang lain belum tentu bisa udh bnyk contoh nya kasus-kasus yg sdah ada ..",nya pasti karena paksa faktor ekonomi atau mudah mendaptkan cuanduit tapi tidak pikir dampak besar nya contoh dampak nya besar dosa dia sendri ngalir terus terus dosa nonton peluang rasa timbul laku krimna yaitu pemrksa karena serng liat rusak generasi muda beb semkin meningkt karena nya knten bgtu mungkin kita sendiri bsa hindar konten seperti itu orang lain belum tentu bisa udh bnyk contoh nya kasuskasus sdah
Keren banget,banget
Kok bisa😮😮 5:42,bisa
DAMN.,damn
"Tontonan adalah tuntunan itu kata kata gua denger pas SD, dan sekarang emang beneran kejadian klk dulu nonton itu cuma tv ke warnet aja jarang masih kudet, chatan pakai sms, wallpaper aja di bluetooth main masih di sawah"" Kali sungai kebon, sekarang anak Sd aja udah tik-tok an konten joget"" Bahkan banyak kasus anak di bawah umur sekarang melakukan tindak asusila bahkan pemerkaosan sampai pembun*han karena terobsesi atau kecanduan film yang belum wayahnya dia tonton. Atau klk gua gini gua dulu juga smp pernah nonton film dewasa jujur aja kalian juga para cowok"" Pasti iya,walaupun lu idup di dunia Hp mito evercrooss asiaphone yang nyimpennya di folder hapus, 1234,abc sampai z. Facebook juga dulu masih bebas diketik anak ayah aja muncul 😂 tapi dulu nggak pernah ada kepikiran buat melakukan itu sama cewek, karena rasa malu,takut juga,. Atau sebenarnya bukan cuma kontennya yang salah tapi anak jaman sekarang emang krisis tanggung jawab dan menyepelekan semua hal. Bahkan hamil di luar nikah sekarang kaya udah hal biasa dalam masyarakat. Klk dulu itu aib klk ada bukan cuma 1 kampung yang denger tapi sampe kuping kampung sebelah.",adalah tuntun itu kata kata gua denger pas dan sekarang emang beneran jadi klk dulu nonton itu cuma warnet aja jarang masih kudet chatan pakai sms wallpaper aja bluetooth main masih sawah sungai kebon sekarang anak aja udah tiktok konten joget banyak kasus anak bawah umur sekarang laku tindak asusila bahkan kaos sampai pembunhan karena obsesi atau candu film yang belum wayahnya dia tonton klk gua gin gua dulu juga smp pernah nonton film dewasa jujur aja kalian juga para cowok iyawalaupun idup dunia mito evercrooss asiaphone yang nyimpennya folder hapus abc sampai juga dulu masih bebas ketik anak ayah aja muncul tapi dulu nggak pernah pikir buat laku itu sama cewek karena rasa malutakut juga benar bukan cuma konten yang salah tapi anak jaman sekarang emang krisis tanggung jawab dan sepele semua hal hamil luar nikah sekarang kaya udah hal biasa dalam masyarakat dulu itu aib klk bukan cuma kampung yang denger tapi sampe kuping kampung belah
bukan manusia tapi harga diri CEWE,bukan manusia tapi harga diri cewe
not that deep lil bro,not that deep lil bro
"😢dulu mau liat cewe kya gitu harus ngintip sampe ketawan bapaknya, sekarang malah bermunculan di media sungguh mereka lupa siapa yang mengangkat derajat nya, wanita tanpa NABI MUHAMMAD HANYALAH BUDAK",dulu mau liat cewe kya gitu harus ngintip sampe tawan bapak sekarang malah muncul media sungguh mereka lupa siapa yang angkat derajat nya wanita tanpa nabi muhammad hanya budak
Tapi kan gratis,kan gratis
"tapi konten seksual kadang juga salah sasaran, banyak bocil sd juga yang ikut😢",tapi konten seksual kadang juga salah sasar banyak bocil juga yang ikut
Kemajuan teknologi kemunduran moralitas,teknologi mundur moralitas
"Aku respect videos lu bang,gw buat video edukasi aja lambat bet.",respect videos banggw buat video edukasi aja lambat bet
semangat mas,semangat mas
"Meme-meme di medsos juga sekarang parah sih, hampir 60% nya yang w temui berbau seksual.
Padahal sebelum ini gak se-massive itu.",meme medsos juga sekarang parah sih hampir nya yang temu bau seksual belum ini gak semassive itu
"Di x parah bnyk bgt, udah disembunyikan di setingan msh muncul, payah x",parah bnyk bgt udah sembunyi ting msh muncul payah
Intinya manusia punya selera masing2 bebas memilih yg di sukai❤,manusia punya selera masing bebas pilih suka
"ngefek ke pernikahan dini karena gatahan nafsu,efeknya banyak anak lahir prematur dan rumah tangga yg berantakan kan belum kesiapan mental, jadi selagi gak ngenyusahin ke kita biarin aja manusia2 sdm rendah itu, taunya ya cuma nafsu s3x dll dan nantinya yang ada malah generasi c ( emas  ) dan kembali ke jaman purba",ngefek nikah dini karena gatahan nafsuefeknya banyak anak lahir prematur dan rumah tangga beranta kan belum kesiap mental jadi selagi gak ngenyusahin kita biarin aja manusia sdm rendah itu tau cuma nafsu dll dan nanti yang malah generasi emas dan kembali jaman purba
Gw suka konten lu bg,suka konten
Sekali liat di beranda langsung saya subscribe sebelum saya tonton 😁,liat beranda langsung saya subscribe belum saya tonton
Org nya yg Liat juga sama murah nya,nya juga sama murah nya
"Miris memang liat nya tapi Banyak peminat apalagi cowo""yg suka liat ginian geli bgt najis,hati""yg punya cowo suka Liat konten""begini,dia akan kecanduan suka lihat hal""yg begini pinter""pilih cowo jaman sekarang",memang liat nya tapi minat apalagi cowoyg suka liat ginian geli bgt najishatiyg punya cowo suka kontenbeginidia akan candu suka lihat halyg begini pinterpilih cowo jaman sekarang
"oh pantes anak laki-laki jaman sekarang hawanya loyo sikapnya sok preman, kebanyakan colai dan pen nutupin keloyoanya dia kayaknya.",pantes anak lakilaki jaman sekarang hawa loyo sikap sok preman banyak colai dan pen nutupin keloyoanya dia kayak
"Saya tinggal di luar negri cukup lama. Fenoma yang aneh dan cuma di indonesia itu adalah “semua (secara umum) orang indo ingin menjadi terkenal”. Karena algoritma di indo kalau terkenal pasti kaya. Ya memang ga bisa disalahkan juga karena pekerjaan di indonesia secara umum tidak menghasilkan banyak uang dibanding artis2. Makanya di indo orang pengen terkenal walaupun carany aneh2. Beda di negara2 barat atau timur. Umumnya orang luar menjaga privasi diri mereka dan juga menghormati privasi orang lain. Maka tak heran mereka sedikit tertarik menjadi terkenal. Karena menjadi orang terkenal secara tidak langsung berarti menjual privasi pribadi. Jadi hati2 kalau keluar negri kalau asal2 ngerekam bisa kena tuntut. Nah kalau kita perhatikan yang terkenal di dunia barat biasanya orang yg berkarya seperti atlit,penyanyi,pembisnis,stund up comedian, aktor.",tinggal luar negri cukup lama yang aneh dan cuma indonesia itu adalah semua cara umum orang indo ingin jadi kenal algoritma indo kalau kenal pasti kaya memang bisa salah juga karena kerja indonesia cara umum tidak hasil banyak uang banding artis indo orang ken kenal walaupun carany aneh negara barat atau timur orang luar jaga privasi diri mereka dan juga hormat privasi orang lain tak heran mereka sedikit tarik jadi kenal jadi orang kenal cara tidak langsung arti jual privasi pribadi hati kalau keluar negri kalau asal ngerekam bisa kena tuntut kalau kita perhati yang kenal dunia barat biasa orang karya seperti atlitpenyanyipembisnisstund comedian aktor
"thanks bg, udh speak up!. bangsa ini butuh lebih bnyk kreator yang mencerahkan spt anda.",thanks udh speak bangsa ini butuh lebih bnyk kreator yang cerah spt anda
"ayoooo sadar kinggg bangkittt jangan karena nafsu melihat gumpalan daging masa depan mu jadi rusak,goo semangat🔥",ayoo sadar kingg bangkitt jangan karena nafsu lihat gumpal daging masa depan jadi rusakgoo semangat
nice edukasi bang,nice edukasi bang
"gue ga setuju dengan ""konten seksual tidak bisa dimonetisasi"" subjek nya aja human. nanti ada saatnya orang orang rela bayar lebih untuk sekedar langganan konten tsb",gue tuju dengan konten seksual tidak bisa dimonetisasi subjek nya aja human nanti saat orang orang rela bayar lebih untuk dar langgan konten tsb
"nice bang, stay productive.",nice bang stay productive
Bagus...👍👍👍👍,
My respect. Lanjutkan konten positif seperti ini,respect konten positif seperti ini
"nice content bro, yukk ikut berkontribusi membanjiri internet dengan konten edukasi positif",nice content bro yukk ikut kontribusi banjir internet dengan konten edukasi positif
Real tiktok merusak moral bangsa,tiktok rusak moral bangsa
satu-satunya orang dengan nama ghibran yang gw suka dan dukung 👍,satusatunya orang dengan nama ghibran yang suka dan dukung
Medsos juga ikut berperan karna mereka dapat untung dari konten konten seperti itu,juga ikut peran karna mereka dapat untung dari konten konten seperti itu
